round,average_reward,std_reward,min_reward,max_reward,episode_rewards
133,95.5,6.2809234989768825,82.0,100.0,82 96 96 100 85 100 100 100 96 100
134,99.3,1.5524174696260025,95.0,100.0,98 100 100 100 100 100 95 100 100 100
135,97.1,3.269556544854363,89.0,100.0,100 100 100 97 89 96 100 95 98 96
136,96.7,4.670117771534247,87.0,100.0,100 100 97 87 100 100 100 90 100 93
137,99.2,1.8330302779823362,94.0,100.0,100 100 100 100 94 100 100 98 100 100
138,97.6,5.589275444992849,81.0,100.0,81 100 100 99 100 100 98 98 100 100
139,98.4,2.8354893757515653,91.0,100.0,96 100 100 97 100 100 100 91 100 100
140,97.9,4.109744517606903,86.0,100.0,98 100 100 100 100 100 86 98 100 97
141,97.0,4.604345773288535,84.0,100.0,96 96 98 97 100 100 100 84 99 100
142,89.3,29.529815441346734,1.0,100.0,100 100 1 100 100 100 100 100 100 92
143,97.9,2.5865034312755126,92.0,100.0,100 98 95 100 100 97 100 92 100 97
144,98.3,3.8742741255621036,87.0,100.0,100 100 100 100 87 97 99 100 100 100
145,98.9,2.467792535850613,92.0,100.0,100 100 100 100 97 100 100 92 100 100
146,97.6,3.7469987990390385,90.0,100.0,100 100 100 93 100 100 90 100 93 100
147,96.7,6.034069936618236,82.0,100.0,98 100 100 100 82 100 99 100 100 88
148,91.1,21.54274819980032,27.0,100.0,100 100 100 92 98 100 94 100 27 100
149,96.8,5.582114294781145,82.0,100.0,100 100 82 99 100 100 95 92 100 100
150,98.3,2.685144316419511,93.0,100.0,100 100 100 93 100 100 100 94 96 100
151,98.4,2.7640549922170505,93.0,100.0,93 100 98 100 100 100 100 100 100 93
152,98.3,3.1000000000000005,90.0,100.0,100 100 100 97 100 90 96 100 100 100
153,98.5,2.0615528128088303,94.0,100.0,100 100 100 96 98 94 97 100 100 100
154,95.7,6.812488532100439,80.0,100.0,96 100 100 80 100 100 98 100 85 98
155,99.3,1.5524174696260025,95.0,100.0,100 95 100 100 100 100 98 100 100 100
156,98.1,2.9137604568666933,90.0,100.0,98 90 100 100 98 98 100 97 100 100
157,96.2,5.546169849544819,84.0,100.0,100 88 94 96 100 84 100 100 100 100
158,93.0,7.483314773547883,77.0,100.0,100 77 88 94 100 100 90 96 100 85
159,90.5,24.35261792908516,18.0,100.0,18 97 100 100 100 100 100 90 100 100
160,88.5,24.711333432253305,16.0,100.0,100 16 100 84 91 100 100 94 100 100
161,99.3,1.5524174696260025,95.0,100.0,100 98 100 100 100 100 100 100 100 95
162,94.6,6.036555309114628,81.0,100.0,96 94 81 93 100 100 87 100 95 100
163,98.7,2.685144316419511,91.0,100.0,100 91 100 100 100 100 100 100 98 98
164,97.5,4.364630568559039,86.0,100.0,100 100 100 100 100 98 93 86 100 98
165,97.8,4.770744176750625,84.0,100.0,100 100 96 98 100 100 84 100 100 100
166,98.7,2.8301943396169813,91.0,100.0,100 100 100 100 100 100 96 100 91 100
167,89.5,25.93549691060497,13.0,100.0,100 100 98 100 100 13 100 100 84 100
168,98.8,1.8330302779823362,94.0,100.0,100 100 94 98 98 100 98 100 100 100
169,94.7,9.055937278934742,72.0,100.0,100 100 100 100 100 89 72 86 100 100
170,98.7,2.8301943396169813,91.0,100.0,91 96 100 100 100 100 100 100 100 100
171,98.7,2.238302928559939,93.0,100.0,96 100 99 100 100 100 99 100 100 93
172,98.7,2.8301943396169813,91.0,100.0,100 100 100 96 100 100 91 100 100 100
173,90.5,24.57742866941129,17.0,100.0,100 100 100 97 97 100 100 17 100 94
174,98.7,1.676305461424021,96.0,100.0,96 97 100 96 100 100 100 100 100 98
